index,ID,Word,Metaphor,Score,Word_POS_Tag,Metaphor_POS_Tag,Sentence
0,14103,worth,free,0.369248292,Noun,Adjective,So I get a free twenty five pound worth of Marks and Spencers erm gift vouchers which .
1,4603,fretted,mother,1.436512943,Verb,Noun,In the fitting rooms at Taylors she fussed and fretted over her creations like a mother hen and though Paula was overawed by the great designer she also liked her on sight .
2,3706,attitudes,lax,0.994270517,Noun,Adjective,"Studies in this area have indicated that too strict or too lax parental attitudes increase the risk of delinquency ( the work of John Bowlby , for example ) ; they have found that if a young child is deprived of close personal relationships with parents or parent figures then   problem behaviour   is more common ."
3,3098,settlement,achieve,0.3786633,Noun,Verb,It plans to issue a protective writ but is hoping to achieve a settlement .
4,716,mask,stripped,0.722122956,Noun,Verb,"A series of spoof or obsessively realistic 1960s westerns ( Cat Balou , Butch Cassidy and the Sundance Kid , Soldier Blue , The Wild Bunch ) stripped the mask from the Lone Ranger 's face ."
5,2692,time,round,0.6764533640000001,Noun,Noun,"The second time round they dealt with R. and B. Lettings in London NW10 , who they instructed just to find a tenant ."
6,5410,stretched,ahead,0.7026800409999999,Verb,Adverb,"To her , the long summer days had stretched ahead , world without end ."
7,5595,shape,disguise,0.586667032,Noun,Verb,"The seemingly random and jagged edged pattern of blue , black , silver , green and white had been designed to disguise a boat 's shape from the prying eyes of U Boat captains , so it seemed somewhat fanciful to thus camouflage a pleasure boat in the Bahamas ."
8,8227,dramatic,warbling,1.999753263,Adjective,Noun,"In the high ceilinged kitchen , surrounded by the smells of mint and basil , Buzz whistled   Roses of Picardy   with much dramatic warbling as she prepared Elinor 's tea ."
9,8147,fat,stale,0.655527761,Adjective,Adjective,"Then , the winter salon did not smell of lilies and expensive leather but of stale , fat , stinking human bodies and animal ordure ."
10,1852,network,constructing,0.574426024,Noun,Verb,"While the entire network of popular committees , local institutions and the general public constitute the field commanders in the battle of civilian disobedience and of constructing a political infrastructure , a rotating Unified National Command acts in the role of field general , issuing a bi monthly directive outlining policy and determining specific resistance programmes ."
11,3576,social,malaise,1.176329629,Adjective,Noun,"The importance of this debate can be explained , partly , by the political capital which the Opposition could make from linking the social and economic malaise of the country at large with violent street disturbances ."
12,8100,persuasion,soft,2.110780752,Noun,Adjective,"In a voice of soft persuasion , she said ,   Will you do something for me , Adam  "
13,3739,particular,listed,0.153615485,Adjective,Verb,In effect the product of the discussion in both parts is a matrix where the methodological issues are listed along one axis and particular applications fields on the other .
14,3635,namely,linking,0.294456349,Adverb,Verb,But the Government did find a way of accepting a link between the riots and social problems without bringing its main policies into the debate : namely by linking the growth of violent disorder to crime and drugs .
15,7013,mounted,scenes,0.8902307079999999,Verb,Noun,"It was in June 1911 that the first scenes of disorder were mounted in the House of Commons , led by Lord Hugh Cecil ."
16,3444,objective,central,0.7464386159999999,Noun,Adjective,"A central objective of the post war welfare state was , indeed , to alleviate the problems of the urban poor , over whom Beveridge 's Five Giants ( Want , Disease , Ignorance , Squalor , and Idleness ) had for so long held sway ."
17,167,solo,scale,0.978885059,Noun,Noun,Thomson was also prolific in instrumental music on both chamber and solo scale .
18,1597,expected,entitled,0.3973296220000001,Verb,Verb,"The council argued that a landlord , particularly one such as a local authority , can not realistically be expected to have a system of inspection of all its premises and in practice is entitled to depend upon notification by its tenants ."
19,4560,tools,solution,0.44335001,Noun,Noun,Over the last 20 years or so a large theoretical literature has been developed to provide tools for the solution of many problems associated with emergency planning ( Kolesar 1981 ) .
20,8460,paid,kept,0.311760235,Verb,Verb,They kept their secret identities and paid for it through their Swiss bank accounts .
21,190,held,positions,0.504554631,Verb,Noun,These positions were not held for his own status but to promote the cause of rowing where it needed clout .
22,7127,dips,preparing,0.17449149600000002,Noun,Verb,"It dips its wings in acknowledgement of the landing strip , and circles , preparing to land ."
23,838,industry,image,0.660718485,Noun,Noun,"As a result of this rule , and many carefully orchestrated publicity campaigns , the motor industry 's image has now changed from polluter to pal of the earth ."
24,4673,watched,round,0.294189519,Verb,Verb,"Paula spent most of her free time alone , window shopping , visiting News Theatres , where she sometimes watched the programme of cartoons twice round , and drinking endless cups of Espresso coffee in caf s and coffee houses ."
25,11133,stuff,chart,0.940542544,Noun,Noun,"you know , I , I that kind of stuff does n't draw punters generally , chart stuff cos the people who go"
26,6391,science,image,0.370467441,Noun,Noun,"Giving science a more feminine image : It is sometimes argued that science textbooks are sexist in showing illustrations of boys , rather than girls , doing practical work in the laboratory , and so forth ."
27,4569,potential,role,0.7759849320000001,Adjective,Noun,As a last example of the potential role of operations research in GIS and disaster management we are reminded of the logistic problems that faced the Peel Regional Police Force during the Mississauga evacuation mentioned previously ( Scanlon and Padgham 1980 ) .
28,1906,capacity,pyramid,0.328916736,Noun,Noun,"A pyramid administrative structure , establishing links from popular committees in villages right up to the Executive Committee of the PLO ( in its capacity as a Cabinet ) , can be established ."
29,4554,assigned,base,0.3591736170000001,Verb,Verb,"Existing GIS techniques usually base the estimates on area weighted shares , so that a new polygon created by   slicing   an existing area in half is assigned half the population of that source unit ."
30,6995,meeting,round,0.398064894,Noun,Noun,The meeting separated in great content with the Conservative Party all round .
31,2128,changed,subject,0.632544225,Verb,Adjective,"He smoothly changed the subject to the looks of the blond model , three tables away , and Barton agreed he would n't mind a bit of that ; on the thin side , mind you , but tasty ."
32,3516,labour,flight,0.718684078,Noun,Noun,"The White Paper drew on studies conducted earlier in the decade in Liverpool , Birmingham , and London which pointed to a debilitating flight of capital and skilled labour from the critical areas of deprivation ."
33,3743,extent,feature,0.572847901,Noun,Noun,A major feature of these applications is the extent to which they involve overlays of a variety of information drawn from different sources on a topographic map base .
34,5218,space,invaders,0.786632058,Noun,Noun,"But seen face to face , even in the informality of her own house , the absence of a spark of sexuality and , he sensed , a deep seated reserve , made her seem less feminine and more formidable than he had expected , and she held herself stiffly as if repelling invaders of her personal space ."
35,2650,principle,reduce,0.25364486,Noun,Verb,"Their protagonists argue that the law of murder is so important socially that derogation from the principle of maximum certainty should be allowed in favour of more accurate labelling by the courts ; opponents argue that the principle of maximum certainty is needed here specifically to reduce the risk of verdicts based on discriminatory or irrelevant factors , such as distaste for the defendant 's background , allegiance , or other activities ."
36,4527,data,level,0.21943827,Noun,Noun,"This might include data on morbidity and mortality , uptake of preventative medicine , service use and availability , at both primary and hospital level ."
37,1768,nosedives,cut,0.295683759,Noun,Noun,"Oil slicks in Alaska and elsewhere helped Vikoma , the group 's environmental cleaning equipment manufacturer , which specialises in separating oil from water , and although Salvesen brick , is suffering in the second half from a 30 to 40 per cent cut in demand as housebuilding nosedives , the first half was prosperous and full year trading profit should be on a level with 1988 , says finance director Brian Fidler ."
38,9955,arrives,getting,0.395236288,Verb,Verb,"I do n't like , just , I could n't be like Deirdre and , put me overall on and in go in without collecting me thoughts getting myself together Deirdre never arrives till about three minutes before she gets in the door , she 's putting her overall on saying come on ladies , its time were , but she 's putting her overall and on , and they all sit there looking at her and so"
39,3193,objectives,meet,0.641717981,Noun,Verb,"To meet these objectives the AEC has a structured programme involving group and individual contact , that is , six group sessions sandwiched between one to one interviews held immediately before and after the group ."
40,3451,reconstruction,rise,0.375139665,Noun,Noun,"Post war reconstruction and housing programmes seemed to do nothing to prevent , and seemed even to encourage , a rise in crime and mental illness ."
41,2752,valley,form,0.53166502,Noun,Verb,"A mile above the shepherd 's hut the hillsides ceased their upward rolling and curved together to form a dead end valley of broad breasted slopes five miles from the nearest tarmac road , hidden deep in the folds of the moors ."
42,148,line,drawings,0.63919186,Noun,Noun,"The results are terse and sharply etched , like the best line drawings ."
43,6422,establishing,spent,0.463548547,Verb,Verb,"However , very few of the teachers even recognized the issue as one of professional concern at the start of the project , and most of the first two years was spent in establishing the educational importance of the issue and working towards the development of feasible intervention strategies ."
44,5189,country,territory,0.369248292,Noun,Noun,"It swung open at his touch but closing it , as always , was more difficult and he lugged and half lifted it into place and slipped the circle of wire over the gatepost with a familiar sensation of having turned his back on the workaday world and entered country which , no matter how frequent his visits , would always be alien territory ."
45,2900,imagine,hard,0.417295419,Verb,Adjective,"Paddy Cosgrove , his likely replacement , is a council hack of 21 years standing and ideal backbench fodder , though it is hard to imagine him leading a crusade for Meadowell ."
46,4542,framework,models,0.288712117,Noun,Noun,"This development , together with the availability of digital terrain models , will allow quite sophisticated flood forecasting models to be developed within a GIS framework ."
47,6198,competition,stages,0.25364486,Noun,Noun,"Many distributions show a peak in a particular age group mainly associated with taking on a large number of young people when the organisation was started or reorganised , this is not desirable because it leads to excessive competition for promotion at particular stages ."
48,3637,argument,relied,0.504554631,Noun,Verb,"The general form relied on the argument that the riots were not a form of protest against the insufferable social conditions of inner city areas or the actions of the police , but a   criminal act   or a   cry for loot   ."
49,7034,provided,advances,0.4078575,Verb,Noun,Party organization provided the easiest advances because it was the only area entirely under the party 's control .
50,3734,potential,fields,0.508777878,Adjective,Noun,The first four chapters in this part examine issues relating to geographic information handling in terms of four potential applications fields .
